key,type,description,height,width,depth,offset,id
1,Shelf,SHELF 5,h: 1.00 in,w: 144.00 in,d: 25.00 in,o: 0,"Shelf 4'x25"""
2,Shelf,SHELF 4,h: 1.00 in,w: 144.00 in,d: 25.00 in,o: 0,"Shelf 4'x25"""
3,Shelf,SHELF 3,h: 1.00 in,w: 144.00 in,d: 25.00 in,o: 0,"Shelf 4'x25"""
4,Shelf,SHELF 2,h: 1.00 in,w: 144.00 in,d: 25.00 in,o: 0,"Shelf 4'x25"""
5,Shelf,SHELF 1,h: 1.00 in,w: 144.00 in,d: 28.00 in,o: 0,"Basedeck 4'x28"""
6,Shelf,16,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 3,"Shelf 4'x25"""
7,Shelf,14,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 3,"Shelf 4'x25"""
8,Shelf,14,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 3,"Shelf 4'x25"""
9,Shelf,12,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 3,"Shelf 4'x25"""
10,Shelf,9,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 3,"Shelf 4'x25"""
11,Shelf,8,h: 1.00 in,w: 48.00 in,d: 28.00 in,o: 3,"Basedeck 4'x28"""
12,Shelf,7,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 4,"Shelf 4'x25"""
13,Shelf,6,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 4,"Shelf 4'x25"""
14,Shelf,5,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 4,"Shelf 4'x25"""
15,Shelf,4,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 4,"Shelf 4'x25"""
16,Shelf,3,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 4,"Shelf 4'x25"""
17,Shelf,2,h: 1.00 in,w: 48.00 in,d: 25.00 in,o: 4,"Shelf 4'x25"""
18,Shelf,8,h: 1.00 in,w: 48.00 in,d: 28.00 in,o: 4,"Basedeck 4'x28"""
